Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Weight,Price_euros
Apple,Ultrabook,13.3,2560,5,8,256,1.37,1339.69
Apple,Ultrabook,13.3,1440,5,8,256,1.34,898.94
HP,Notebook,15.6,1920,5,8,512,1.86,575
Apple,Ultrabook,15.4,2880,7,16,1024,1.83,2537.45
Apple,Ultrabook,13.3,2560,5,8,512,1.37,1803.6
Apple,Ultrabook,15.4,2880,7,16,356,2.04,2139.97
Apple,Ultrabook,13.3,1440,5,8,356,1.34,1158.7
Asus,Ultrabook,14,1920,7,16,612,1.3,1495
Acer,Ultrabook,14,1920,5,8,356,1.6,770
HP,Notebook,15.6,1366,5,4,500,1.86,393.9
HP,Notebook,15.6,1920,3,4,500,1.86,344.99
Apple,Ultrabook,15.4,2880,7,16,356,1.83,2439.97
Dell,Notebook,15.6,1920,3,4,356,2.2,498.9
Apple,Ultrabook,13.3,2560,5,8,356,1.37,1518.55
Dell,Notebook,15.6,1920,7,8,356,2.2,745
Apple,Ultrabook,15.4,2880,7,16,612,1.83,2858
Lenovo,Notebook,15.6,1920,3,8,1024,2.2,499
Dell,Ultrabook,13.3,1920,5,8,228,1.22,979
Lenovo,Gaming,15.6,1920,5,8,1252,2.5,999
Dell,2 in 1 Convertible,13.3,1920,5,8,356,1.62,819
HP,Ultrabook,15.6,1920,7,8,356,1.91,659
Dell,Notebook,15.6,1366,3,4,1024,2.3,418.64
Apple,Ultrabook,13.3,1440,5,8,228,1.35,1099
Dell,Notebook,15.6,1920,5,8,356,2.2,800
Dell,Ultrabook,15.6,1920,7,8,712,1.88,1298
HP,Notebook,17.3,1920,5,8,1024,2.5,896
Dell,Ultrabook,13.3,3200,7,16,612,1.2,1869
Apple,Ultrabook,13.3,1440,5,8,356,1.35,998
Acer,Notebook,15.6,1366,3,4,1024,2.1,367
Dell,Notebook,17.3,1920,5,8,1252,2.8,979
HP,Notebook,15.6,1366,5,4,1024,1.86,488.69
HP,Notebook,15.6,1920,5,8,356,2.1,879
Asus,Notebook,15.6,1920,3,4,1024,2,389
Dell,Gaming,15.6,1920,7,16,1380,2.65,1499
Asus,Notebook,15.6,1366,5,8,1024,2.3,522.99
Acer,Notebook,15.6,1920,5,4,356,2.2,682
Dell,2 in 1 Convertible,17.3,1920,5,12,1024,2.77,999
Apple,Ultrabook,13.3,2560,5,8,356,1.37,1419
Lenovo,Notebook,15.6,1366,3,4,228,2.2,369
Dell,Notebook,15.6,1920,5,4,356,2.3,639
Acer,Notebook,15.6,1920,7,8,356,2.2,841
HP,Notebook,13.3,1920,7,8,612,1.49,1103
Acer,Notebook,15.6,1366,3,4,1024,2.4,384
Dell,Notebook,15.6,1920,7,8,356,2.13,767.8
HP,Notebook,15.6,1920,3,4,228,1.91,439
Asus,Notebook,15.6,1366,5,4,356,2,586.19
MSI,Gaming,17.3,1920,7,16,2404,2.43,2449
Asus,Notebook,15.6,1920,3,4,356,2,415
Dell,Notebook,17.3,1920,7,16,2404,2.8,1299
Dell,Ultrabook,14,1920,5,8,356,1.7,879
Lenovo,Notebook,14,1920,3,8,356,1.7,599
Asus,Notebook,14,1920,5,8,356,1.4,941
HP,Notebook,15.6,1920,5,8,356,1.86,690
Asus,Ultrabook,15.6,1920,7,16,612,1.8,1983
HP,Notebook,15.6,1366,3,4,500,1.86,438.69
Lenovo,Notebook,15.6,1920,5,4,1024,1.9,549
Asus,Gaming,17.3,1920,7,12,1024,3,949
Microsoft,Ultrabook,13.5,2256,5,4,228,1.252,1089
Dell,Ultrabook,13.3,1920,7,8,356,1.4,955
Dell,Notebook,15.6,1920,7,8,356,2.2,870
MSI,Gaming,17.3,1920,5,8,1252,2.7,1095
Acer,Notebook,14,1366,3,8,1024,2.1,389
Asus,Gaming,15.6,1920,7,8,1024,2.2,949
Lenovo,Notebook,15.6,1920,5,8,2048,2.2,519
Dell,Notebook,15.6,1920,7,8,1252,2.02,855
Acer,Notebook,15.6,1920,3,4,1024,2.2,530
HP,Notebook,17.3,1920,5,8,1252,2.5,977
Dell,Ultrabook,15.6,1920,5,8,356,1.88,1096.16
Apple,Ultrabook,12,2304,5,8,612,0.92,1510
HP,Notebook,14,1920,5,8,356,1.63,860
Dell,Gaming,15.6,1920,7,16,1252,2.65,1349
HP,Ultrabook,15.6,1920,7,8,356,1.83,699
HP,Notebook,15.6,1920,5,8,356,1.96,598.99
Asus,Gaming,15.6,1920,7,16,1252,2.2,1449
Dell,Ultrabook,13.3,1920,7,8,356,1.21,1649
Acer,Notebook,15.6,1920,7,8,1024,2.2,689
HP,Notebook,13.3,1920,7,16,612,1.49,1197
Dell,Gaming,15.6,1920,3,8,356,2.65,1195
Asus,Ultrabook,14,1920,7,8,356,1.25,1049
Acer,2 in 1 Convertible,13.3,1920,5,8,356,1.5,847
Dell,Notebook,15.6,1920,7,8,1024,2.2,599.9
Dell,Notebook,15.6,1920,3,4,356,2.2,485
Asus,Notebook,15.6,1920,3,6,356,2,577
HP,Gaming,15.6,1920,7,12,1252,2.62,1249
HP,Notebook,15.6,1920,7,8,356,1.91,719
Dell,Notebook,15.6,1920,5,8,1024,2.2,647
HP,Ultrabook,13.3,1920,7,8,356,1.38,1119
Microsoft,Ultrabook,13.5,2256,5,8,356,1.252,1340
HP,Notebook,14,1920,5,6,356,1.58,659
Lenovo,Notebook,15.6,1920,3,4,1024,1.85,414.9
Asus,Ultrabook,14,1920,7,8,356,1.3,1193
MSI,Gaming,15.6,1920,7,16,1380,2.2,1299
Lenovo,Notebook,14,1920,7,8,356,1.58,1480
Asus,Ultrabook,15.6,1920,7,16,1380,1.5,1262
Dell,Ultrabook,13.3,3200,7,8,356,1.23,1379
Lenovo,2 in 1 Convertible,13.3,1920,5,8,356,1.37,1399
HP,Notebook,14,1366,5,4,500,1.63,722
Dell,Ultrabook,13.3,1920,5,8,356,1.21,1629
HP,2 in 1 Convertible,13.3,1920,5,8,356,1.26,1398.99
HP,Notebook,14,1920,7,8,612,1.63,1084
Dell,Notebook,15.6,1920,7,8,1380,2.16,1130.33
Asus,Notebook,17.3,1920,3,4,1024,2,564
Asus,Notebook,15.6,1920,7,8,356,1.7,1118
Acer,Notebook,15.6,1920,3,6,1024,2.1,479
MSI,Gaming,15.6,1920,7,16,2404,1.8,2241.5
Lenovo,Notebook,15.6,1920,5,8,356,2.2,629
HP,Notebook,17.3,1920,7,16,612,2.5,1271
HP,Notebook,14,1920,5,8,1024,1.63,812
Dell,Notebook,17.3,1920,7,16,2404,2.8,1396
HP,Notebook,17.3,1920,5,8,356,2.5,928
Dell,Notebook,15.6,1366,5,8,1024,2.36,638.99
Dell,Notebook,15.6,1920,3,4,1024,2.2,449
Acer,Ultrabook,14,1920,7,8,356,1.6,884
Acer,Notebook,15.6,1920,3,4,356,2.2,572
HP,Notebook,15.6,1366,7,8,1024,2.05,598
HP,Notebook,14,1920,7,8,356,1.63,988
Asus,Gaming,17.3,1920,5,8,1252,3,938
Lenovo,Notebook,15.6,1920,5,4,1024,2.2,499
HP,Notebook,13.3,1920,5,4,356,1.32,699
Acer,Notebook,17.3,1920,3,4,1024,3,655
Lenovo,Notebook,14,1920,5,8,356,1.75,1116.02
Lenovo,Gaming,15.6,1920,7,8,356,2.4,869
Toshiba,Notebook,15.6,1366,5,4,500,2.1,602
Asus,Ultrabook,14,1920,7,8,356,1.25,1099
MSI,Gaming,17.3,1920,7,16,1380,2.9,2029
Acer,Notebook,15.6,1366,3,4,1024,2.1,447
Dell,Gaming,15.6,1920,7,16,612,2.56,1249.26
Dell,Gaming,15.6,1920,7,8,1024,2.62,899
Lenovo,Notebook,15.6,1366,5,4,228,1.9,498
MSI,Gaming,17.3,1920,7,16,1380,2.8,1890
HP,Ultrabook,14,1920,5,4,356,1.48,1082
HP,Notebook,15.6,1920,5,6,356,1.91,619
Lenovo,2 in 1 Convertible,14,1920,3,4,356,1.74,629
Asus,2 in 1 Convertible,13.3,1920,5,8,356,1.1,1315
Dell,2 in 1 Convertible,15.6,1920,7,8,356,1.56,1049
Toshiba,Notebook,15.6,1366,3,4,500,2.1,447
Acer,Notebook,17.3,1920,5,4,356,3,805
Dell,Notebook,15.6,1920,5,8,356,2.13,728
Lenovo,Gaming,15.6,1920,7,16,356,2.5,1079
MSI,Gaming,15.6,1920,7,16,1380,2.4,1799
Dell,Gaming,15.6,1920,7,8,1252,2.56,1060.49
Acer,Notebook,17.3,1920,5,8,356,3,854
HP,Notebook,13.3,1920,5,4,500,1.49,754
Huawei,Ultrabook,13,2160,5,8,356,1.05,1349
HP,Notebook,17.3,1920,5,6,2048,2.71,699
Toshiba,Notebook,15.6,1366,3,4,500,2,489
HP,Notebook,17.3,1920,5,8,356,2.5,923
Dell,Notebook,15.6,1366,3,8,1024,2.3,459
Acer,Notebook,15.6,1366,3,4,228,2.1,449
MSI,Gaming,18.4,1920,7,32,1636,4.4,2799
Lenovo,Notebook,15.6,1920,5,8,1252,1.9,813
HP,2 in 1 Convertible,13.3,3840,5,8,356,1.29,1499
Dell,Notebook,15.6,1920,7,16,2404,2.02,1049
Dell,Ultrabook,13.3,1920,5,8,356,1.23,1399
Lenovo,2 in 1 Convertible,13.9,3840,7,16,612,1.4,1849
Toshiba,Notebook,15.6,1366,5,8,228,2,793
Xiaomi,Notebook,15.6,1920,5,8,356,1.95,1199
Dell,Notebook,17.3,1920,7,16,612,2.77,1549
Dell,Notebook,15.6,3840,7,16,612,2.06,2397
Lenovo,Gaming,15.6,1920,5,8,356,2.4,779
Acer,Ultrabook,13.3,1920,5,8,356,1.12,989
Dell,Notebook,17.3,1920,7,8,1252,2.8,1085
Lenovo,2 in 1 Convertible,14,2660,7,16,1124,1.42,2824
