DATE,평균가격,총거래물량,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),평균 지면온도(°C),일강수량(mm),농협가락(공),대아청과,서울청과,한국청과,생산자물가지수,소비자물가지수
20231002,11500.0,7100.0,21.1,15.5,27.9,1.4,87.3,9.2,27.4,0.0,0,0,0,1,121.93,127.69
20230928,13881.0,37130.0,20.8,18.0,26.3,1.8,91.0,8.1,25.3,0.0,0,1,0,0,159.44,132.54
20230928,9168.0,9400.0,22.6,19.4,28.1,1.4,83.6,6.8,27.1,0.0,0,1,0,0,159.44,132.54
20230927,5816.0,259260.0,24.3,23.1,26.6,1.1,86.4,1.3,26.0,0.0,0,1,0,0,159.44,132.54
20230927,12734.0,150320.0,20.9,18.6,25.5,1.5,92.9,2.4,25.3,0.0,0,1,0,0,159.44,132.54
20230927,7245.0,79520.0,25.7,21.6,31.9,0.7,78.3,3.1,27.8,0.0,0,1,0,0,159.44,132.54
20230927,12000.0,9480.0,20.9,18.6,25.5,1.5,92.9,2.4,25.3,0.0,0,0,0,1,159.44,132.54
20230926,6439.0,364320.0,24.4,23.1,28.0,1.2,84.4,0.7,25.0,0.6,0,1,0,0,159.44,132.54
20230926,11132.0,236520.0,20.5,18.6,24.5,0.9,92.5,0.3,22.6,1.6,0,1,0,0,159.44,132.54
20230926,7270.0,115020.0,23.6,21.0,28.3,0.6,84.9,1.7,26.1,2.5,0,1,0,0,159.44,132.54
20230926,17048.0,19840.0,22.0,18.6,28.0,1.1,86.0,1.4,24.3,0.1,0,1,0,0,159.44,132.54
20230926,12270.0,18120.0,22.0,18.6,28.0,1.1,86.0,1.4,24.3,0.1,0,1,0,0,159.44,132.54
20230926,14500.0,9940.0,20.5,18.6,24.5,0.9,92.5,0.3,22.6,1.6,0,0,0,1,159.44,132.54
20230925,6481.0,326680.0,27.7,22.4,33.2,2.7,67.6,9.2,27.0,0.0,0,1,0,0,159.44,132.54
20230925,9461.0,252370.0,21.4,18.2,26.0,3.3,86.0,4.6,22.6,4.2,0,1,0,0,159.44,132.54
20230925,5698.0,169000.0,24.4,20.0,31.4,1.4,78.0,5.0,26.5,4.6,0,1,0,0,159.44,132.54
20230925,15274.0,48760.0,22.1,18.7,28.1,2.5,79.4,7.1,24.0,1.0,0,1,0,0,159.44,132.54
20230925,9779.0,36380.0,22.1,18.7,28.1,2.5,79.4,7.1,24.0,1.0,0,1,0,0,159.44,132.54
20230923,7172.0,395960.0,22.3,21.6,23.1,1.6,93.0,0.0,22.8,76.4,0,1,0,0,159.44,132.54
20230923,9601.0,221800.0,18.5,17.6,19.7,2.4,96.0,0.0,20.8,43.7,0,1,0,0,159.44,132.54
20230923,6734.0,149100.0,22.8,20.6,27.6,1.9,81.0,0.0,25.8,16.7,0,1,0,0,159.44,132.54
20230923,11371.0,53600.0,19.0,18.1,19.7,1.7,97.1,0.0,21.4,17.0,0,1,0,0,159.44,132.54
20230923,8933.0,18120.0,19.0,18.1,19.7,1.7,97.1,0.0,21.4,17.0,0,1,0,0,159.44,132.54
20230922,7648.0,238760.0,23.3,22.0,24.6,1.8,88.6,0.0,24.4,0.9,0,1,0,0,159.44,132.54
20230922,13484.0,109490.0,19.3,17.7,21.2,2.1,96.0,0.0,23.9,1.0,0,1,0,0,159.44,132.54
20230922,8769.0,109360.0,25.8,22.2,31.0,1.9,70.8,4.5,31.2,0.0,0,1,0,0,159.44,132.54
20230922,28127.0,19850.0,20.3,18.1,22.3,1.7,95.8,0.0,23.7,0.3,0,1,0,0,159.44,132.54
20230922,10752.0,18200.0,20.3,18.1,22.3,1.7,95.8,0.0,23.7,0.3,0,1,0,0,159.44,132.54
20230921,7159.0,281070.0,24.9,22.7,26.5,1.6,93.0,0.0,19.7,39.5,0,1,0,0,159.44,132.54
20230921,8793.0,136480.0,21.3,19.0,23.7,1.6,95.1,0.0,25.2,3.0,0,1,0,0,159.44,132.54
20230921,9007.0,101300.0,27.0,23.7,31.7,1.6,74.3,3.9,32.6,0.0,0,1,0,0,159.44,132.54
20230921,13426.0,49700.0,22.4,20.0,26.6,1.6,92.4,0.8,25.7,0.4,0,1,0,0,159.44,132.54
20230921,7378.0,27280.0,22.4,20.0,26.6,1.6,92.4,0.8,25.7,0.4,0,1,0,0,159.44,132.54
20230920,8655.0,397740.0,28.1,26.1,31.7,1.1,84.0,1.8,32.3,27.7,0,1,0,0,159.44,132.54
20230920,7458.0,166510.0,28.2,23.0,36.9,1.4,75.6,6.9,33.2,0.2,0,1,0,0,159.44,132.54
20230920,9716.0,157420.0,23.1,19.7,27.5,1.8,91.8,3.7,29.1,5.3,0,1,0,0,159.44,132.54
20230920,15384.0,49630.0,24.5,20.7,30.0,1.1,86.4,5.4,28.0,0.0,0,1,0,0,159.44,132.54
20230920,9086.0,44520.0,24.5,20.7,30.0,1.1,86.4,5.4,28.0,0.0,0,1,0,0,159.44,132.54
20230920,13000.0,9940.0,23.1,19.7,27.5,1.8,91.8,3.7,29.1,5.3,0,0,0,1,159.44,132.54
20230919,7899.0,428660.0,32.4,28.0,37.3,1.7,59.4,12.3,42.9,0.0,0,1,0,0,159.44,132.54
20230919,8361.0,209950.0,25.6,20.8,31.8,2.4,78.8,12.8,33.7,0.0,0,1,0,0,159.44,132.54
20230919,3389.0,109470.0,29.2,22.5,37.5,1.1,69.9,11.6,33.4,0.0,0,1,0,0,159.44,132.54
20230919,13303.0,49660.0,26.3,20.8,33.3,0.7,76.5,7.2,29.0,0.0,0,1,0,0,159.44,132.54
20230919,10421.0,46220.0,26.3,20.8,33.3,0.7,76.5,7.2,29.0,0.0,0,1,0,0,159.44,132.54
20230918,7546.0,463620.0,33.2,30.6,37.3,1.9,53.9,7.8,40.1,0.0,0,1,0,0,159.44,132.54
20230918,10185.0,138080.0,25.0,21.0,29.8,3.9,79.6,8.7,29.6,0.0,0,1,0,0,159.44,132.54
20230918,4427.0,79510.0,27.4,21.3,35.2,1.2,75.0,7.8,31.1,0.0,0,1,0,0,159.44,132.54
20230918,12177.0,40880.0,26.1,22.1,31.3,1.0,72.6,6.6,28.4,0.0,0,1,0,0,159.44,132.54
20230918,6880.0,18160.0,26.1,22.1,31.3,1.0,72.6,6.6,28.4,0.0,0,1,0,0,159.44,132.54
20230916,10176.0,325740.0,32.9,28.3,37.8,1.7,56.5,10.0,37.4,0.0,0,1,0,0,159.44,132.54
20230916,17172.0,30900.0,25.9,19.6,31.9,0.8,74.6,9.0,29.2,0.0,0,1,0,0,159.44,132.54
20230916,15957.0,19880.0,24.8,20.5,30.0,3.0,81.8,8.6,29.1,0.0,0,1,0,0,159.44,132.54
20230916,5528.0,19850.0,28.0,23.3,35.4,1.2,75.6,9.0,31.3,0.0,0,1,0,0,159.44,132.54
20230916,12534.0,18120.0,25.9,19.6,31.9,0.8,74.6,9.0,29.2,0.0,0,1,0,0,159.44,132.54
20230915,10079.0,368080.0,29.8,24.8,35.1,1.0,67.8,10.3,35.5,0.0,0,1,0,0,159.44,132.54
20230915,13714.0,19880.0,24.0,17.5,31.1,1.1,80.5,8.8,32.2,0.0,0,1,0,0,159.44,132.54
